source_file,check_category,check_name,n_total,n_flagged,flagged_pct,metric_value
VED_180411_week.csv,null_rate,ts_ms,434636,0,0.0,0.0
VED_180711_week.csv,null_rate,ts_ms,393911,0,0.0,0.0
VED_180613_week.csv,null_rate,ts_ms,384455,0,0.0,0.0
VED_180725_week.csv,null_rate,ts_ms,333913,0,0.0,0.0
VED_180221_week.csv,null_rate,ts_ms,285924,0,0.0,0.0
VED_180314_week.csv,null_rate,ts_ms,420510,0,0.0,0.0
VED_180627_week.csv,null_rate,ts_ms,410853,0,0.0,0.0
VED_180926_week.csv,null_rate,ts_ms,382985,0,0.0,0.0
VED_171115_week.csv,null_rate,ts_ms,602092,0,0.0,0.0
VED_171220_week.csv,null_rate,ts_ms,539468,0,0.0,0.0
VED_180228_week.csv,null_rate,ts_ms,402041,0,0.0,0.0
VED_180117_week.csv,null_rate,ts_ms,526771,0,0.0,0.0
VED_180509_week.csv,null_rate,ts_ms,421647,0,0.0,0.0
VED_181024_week.csv,null_rate,ts_ms,442505,0,0.0,0.0
VED_171122_week.csv,null_rate,ts_ms,474329,0,0.0,0.0
VED_180207_week.csv,null_rate,ts_ms,419846,0,0.0,0.0
VED_180404_week.csv,null_rate,ts_ms,461047,0,0.0,0.0
VED_180425_week.csv,null_rate,ts_ms,451633,0,0.0,0.0
VED_180829_week.csv,null_rate,ts_ms,341372,0,0.0,0.0
VED_171108_week.csv,null_rate,ts_ms,535198,0,0.0,0.0
VED_171213_week.csv,null_rate,ts_ms,670084,0,0.0,0.0
VED_180530_week.csv,null_rate,ts_ms,416659,0,0.0,0.0
VED_180704_week.csv,null_rate,ts_ms,330147,0,0.0,0.0
VED_181003_week.csv,null_rate,ts_ms,348442,0,0.0,0.0
VED_181017_week.csv,null_rate,ts_ms,386404,0,0.0,0.0
VED_180103_week.csv,null_rate,ts_ms,393498,0,0.0,0.0
VED_180912_week.csv,null_rate,ts_ms,351253,0,0.0,0.0
VED_171101_week.csv,null_rate,ts_ms,489414,0,0.0,0.0
VED_181107_week.csv,null_rate,ts_ms,118327,0,0.0,0.0
VED_171227_week.csv,null_rate,lat,311927,0,0.0,0.0
VED_180110_week.csv,null_rate,lat,550780,0,0.0,0.0
VED_180124_week.csv,null_rate,lat,456757,0,0.0,0.0
VED_180214_week.csv,null_rate,lat,389642,0,0.0,0.0
VED_180502_week.csv,null_rate,lat,426242,0,0.0,0.0
VED_180801_week.csv,null_rate,lat,358812,0,0.0,0.0
VED_180808_week.csv,null_rate,lat,359952,0,0.0,0.0
VED_180919_week.csv,null_rate,lat,376531,0,0.0,0.0
VED_180815_week.csv,null_rate,lat,299642,0,0.0,0.0
VED_181010_week.csv,null_rate,lat,317933,0,0.0,0.0
VED_180418_week.csv,null_rate,lat,486657,0,0.0,0.0
VED_180523_week.csv,null_rate,lat,437321,0,0.0,0.0
VED_180718_week.csv,null_rate,lat,399092,0,0.0,0.0
VED_180328_week.csv,null_rate,lat,367606,0,0.0,0.0
VED_171129_week.csv,null_rate,lat,531856,0,0.0,0.0
VED_180131_week.csv,null_rate,lat,479522,0,0.0,0.0
VED_180321_week.csv,null_rate,lat,402133,0,0.0,0.0
VED_180822_week.csv,null_rate,lat,300557,0,0.0,0.0
VED_180516_week.csv,null_rate,lat,465975,0,0.0,0.0
VED_180606_week.csv,null_rate,lat,432177,0,0.0,0.0
VED_180905_week.csv,null_rate,lat,323481,0,0.0,0.0
VED_180620_week.csv,null_rate,lat,433660,0,0.0,0.0
VED_181031_week.csv,null_rate,lat,371630,0,0.0,0.0
VED_171206_week.csv,null_rate,lat,589154,0,0.0,0.0
